SrNo,Parameter,Unit,Month,Year,Value,Data Source,Latitude,Longitude
304,NH3-N,mg/l,Dec,2018,10.0,CPCB,30.6921376,76.7361159
305,Phosphate,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
306,TSS,mg/l,Dec,2018,7.0,CPCB,30.6921376,76.7361159
307,TDS,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
308,FS,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
309,Turbidity,NTU,Dec,2018,,CPCB,30.6921376,76.7361159
310,TH as CaCO3,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
311,Ca as CaCO3,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
312,Mg as CaCO3,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
313,Sulphate,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
314,Chloride,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
315,Total alkalinity as CaCO3,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
316,P-Alkalinity,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
317,Fluoride,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
318,Colour,Hazen,Dec,2018,,CPCB,30.6921376,76.7361159
319,Boron(B),mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
320,TKN,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
321,Potassium,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
322,Sodium,mg/l,Dec,2018,,CPCB,30.6921376,76.7361159
323,Total Coliform,MPN/100ml,Dec,2018,7.6E+4,CPCB,30.6921376,76.7361159
324,Faecal Coliform,MPN/100ml,Dec,2018,4E+4,CPCB,30.6921376,76.7361159
325,BOD,mg/l,April,2020,10.0,CPCB,30.6921376,76.7361159
326,TSS,mg/l,April,2020,19.0,CPCB,30.6921376,76.7361159
327,Faecal Coliform,MPN/100ml,April,2020,0.0,CPCB,30.6921376,76.7361159
328,BOD,mg/l,May,2020,10.0,CPCB,30.6921376,76.7361159
329,TSS,mg/l,May,2020,10.0,CPCB,30.6921376,76.7361159
330,Faecal Coliform,MPN/100ml,May,2020,230.0,CPCB,30.6921376,76.7361159
331,BOD,mg/l,June,2020,9.0,CPCB,30.6921376,76.7361159
332,TSS,mg/l,June,2020,3.0,CPCB,30.6921376,76.7361159
333,Faecal Coliform,MPN/100ml,June,2020,490.00000000000006,CPCB,30.6921376,76.7361159
